CRN,Subject,Department,Number,Section,Instructor,Days,Start Time,End Time,Building,Room,Campus,Class Type,Method,DP or IN,PoT,Actual,Max
30946,CHEM,CHEM,2142,255,"Rastogi, Shiva Kumar",__T____,12:30 PM,3:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,14,16
30949,CHEM,CHEM,2142,256,"Rastogi, Shiva Kumar",__T____,6:30 PM,9:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,13,16
30951,CHEM,CHEM,2142,257,"Rastogi, Shiva Kumar",___W___,8:00 AM,10:50 AM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
31861,CHEM,CHEM,2142,258,"Rastogi, Shiva Kumar",___W___,11:00 AM,1:50 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
32319,CHEM,CHEM,2142,259,"Rastogi, Shiva Kumar",___W___,2:00 PM,4:50 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
30953,CHEM,CHEM,2142,260,"Rastogi, Shiva Kumar",___W___,6:30 PM,9:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,11,16
30955,CHEM,CHEM,2142,261,"Rastogi, Shiva Kumar",____R__,8:00 AM,10:50 AM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,13,16
32751,CHEM,CHEM,2142,262,"Rastogi, Shiva Kumar",____R__,11:00 AM,1:50 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
32796,CHEM,CHEM,2142,263,"Rastogi, Shiva Kumar",____R__,2:00 PM,4:50 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,10,16
30948,CHEM,CHEM,2142,264,"Rastogi, Shiva Kumar",__T____,3:30 PM,6:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,16,16
33384,CHEM,CHEM,2142,265,"Rastogi, Shiva Kumar",_M_____,6:30 PM,9:20 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,15,16
30959,CHEM,CHEM,2150,251,"Nassar, Omneya Mohamed",_____F_,8:00 AM,10:50 AM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,8,20
30959,CHEM,CHEM,2150,251,"Olanrewaju, Gbemisola Joy",_____F_,8:00 AM,10:50 AM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,8,20
30962,CHEM,CHEM,2150,252,"Nassar, Omneya Mohamed",_____F_,11:00 AM,1:50 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,7,20
30962,CHEM,CHEM,2150,252,"Olanrewaju, Gbemisola Joy",_____F_,11:00 AM,1:50 PM,CHEM,232,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,7,20
32912,CHEM,CHEM,2330,251,"Wheeler, Brittany Marie",__T_R__,12:30 PM,1:50 PM,ELA,225,Online,LEC,HYB,,1,59,60
32912,CHEM,CHEM,2330,251,"Rastogi, Shiva Kumar",__T_R__,12:30 PM,1:50 PM,ELA,225,Online,LEC,HYB,,1,59,60
30968,CHEM,CHEM,2341,251,"Wight, Christopher David",_M_W___,11:00 AM,12:20 PM,CENT,,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,99,100
30970,CHEM,CHEM,2341,252,"Wight, Christopher David",_M_W___,2:00 PM,3:20 PM,CHEM,100,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,48,100
33142,CHEM,CHEM,2341,253,"Allison, Jeffrey Corbin",__T_R__,11:00 AM,12:20 PM,CENT,,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,109,110
39358,CHEM,CHEM,2341,254,"Kornienko, Alexander Vladimir",__T_R__,9:30 AM,10:50 AM,THH,310,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,57,80
32913,CHEM,CHEM,2342,251,"Allison, Jeffrey Corbin",__T_R__,8:00 AM,9:20 AM,CENT,,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,99,105
30975,CHEM,CHEM,2342,252,"Allison, Jeffrey Corbin",__T_R__,9:30 AM,10:50 AM,CHEM,105,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,60,60
32146,CHEM,CHEM,2342,253,"Wight, Christopher David",__T_R__,2:00 PM,3:20 PM,CENT,,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,92,105
37166,CHEM,CHEM,2342,H25,"Blanda, Michael T",__T_R__,9:30 AM,10:50 AM,CHEM,133,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,12,25
30988,CHEM,CHEM,2350,251,"Nassar, Omneya Mohamed",_M_W___,3:30 PM,4:50 PM,DERR,229,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,18,40
30990,CHEM,CHEM,3245,251,"Jacobs, Michael Isaac",_M_____,12:30 PM,1:50 PM,CHEM,105,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,14,36
30996,CHEM,CHEM,3245,L02,"Ogunwa, Tomisin Happy",___W___,12:30 PM,4:20 PM,CHEM,221,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,8,12
33740,CHEM,CHEM,3245,L03,"Ogunwa, Tomisin Happy",__T____,8:00 AM,11:50 AM,CHEM,221,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,6,12
31036,CHEM,CHEM,3276,251,"Gray, Joel William",_M_____,12:30 PM,1:50 PM,FAB,102,"601 University Dr, San Marcos, TX 78666",LEC,FTF,,1,37,56
33871,CHEM,CHEM,3276,L01,"Gray, Joel William",_M_____,5:30 PM,9:20 PM,CHEM,109,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,12,14
33795,CHEM,CHEM,3276,L02,"Gray, Joel William",__T____,5:30 PM,9:20 PM,CHEM,109,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,10,14
31042,CHEM,CHEM,3276,L03,"Gray, Joel William",_____F_,8:00 AM,11:50 AM,CHEM,109,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,6,14
33056,CHEM,CHEM,3276,L04,"Gray, Joel William",_____F_,12:30 PM,4:20 PM,CHEM,109,"601 University Dr, San Marcos, TX 78666",LAB,FTF,,1,9,14
